CPU: [11th Gen Intel(R) Core(TM) i5-11400F @ 2.60GHz]
12 threads with OpenMP
Training data: (40000,3072) 468.8 MB
Validation data: (10000,3072) 117.2 MB
Testing data: (10000,3072) 117.2 MB

Network: cifar10cnn-student
Input, shape:[32,32,3], parameters: 0, memory:12.0 KB
Conv2D(ReLU), shape:[28,28,8] (k:5,s:1,pad:no), parameters:600, memory:29.2 KB
Maxpool2D shape:[14,14,8] (k:2,s:2), parameters:0, memory:6.1 KB
Conv2D(ReLU), shape:[12,12,16] (k:3,s:1,pad:no), parameters:1152, memory:18.0 KB
Maxpool2D shape:[6,6,16] (k:2,s:2), parameters:0, memory:2.2 KB
Conv2D(ReLU), shape:[4,4,32] (k:3,s:1,pad:no), parameters:4608, memory:38.0 KB
Maxpool2D shape:[2,2,32] (k:2,s:2), parameters:0, memory:512 bytes
Dense(ReLU), shape:[64], parameters:8256, memory:64.5 KB
Dense(Softmax), shape:[10], parameters:650, memory:5.1 KB

Training...
epoch: 124, time: 6.95 secs (speed 6237.5), loss (CCE): 23398.4512, validation accuracy: 0.6216
epoch: 125, time: 6.89 secs (speed 6258.3), loss (CCE): 23352.7461, validation accuracy: 0.6296
epoch: 126, time: 7.02 secs (speed 6157.8), loss (CCE): 23227.9785, validation accuracy: 0.6293
epoch: 127, time: 7.66 secs (speed 5572.0), loss (CCE): 23201.8320, validation accuracy: 0.6335
epoch: 128, time: 7.67 secs (speed 5571.8), loss (CCE): 23168.8145, validation accuracy: 0.6169
epoch: 129, time: 7.68 secs (speed 5567.0), loss (CCE): 23160.5605, validation accuracy: 0.6277
epoch: 130, time: 6.92 secs (speed 6207.8), loss (CCE): 23132.8418, validation accuracy: 0.6276
epoch: 131, time: 7.18 secs (speed 6003.9), loss (CCE): 22996.3633, validation accuracy: 0.6277
epoch: 132, time: 7.70 secs (speed 5563.2), loss (CCE): 22982.5527, validation accuracy: 0.6233
epoch: 133, time: 7.68 secs (speed 5565.5), loss (CCE): 23062.0996, validation accuracy: 0.6212
epoch: 134, time: 7.42 secs (speed 5789.9), loss (CCE): 23002.2930, validation accuracy: 0.6265
epoch: 135, time: 7.64 secs (speed 5590.9), loss (CCE): 22957.2793, validation accuracy: 0.6300
epoch: 136, time: 7.67 secs (speed 5586.0), loss (CCE): 22750.5762, validation accuracy: 0.6159
